mapped_storeid,visits_2021
9073,15019
9074,11678
8105,67729
7392,42208
7548,20556
8115,19719
7306,11333
8136,22451
7337,37256
8146,30455
7761,30635
7339,18681
7340,1151
7884,16960
7542,22555
9070,32656
8113,29851
8096,32600
8002,8261
8112,38456
8098,36285
8135,35808
8004,36729
7309,29795
8147,20375
8092,28051
8001,37155
8005,15935
8108,18070
8134,34040
7397,20735
7338,12819
8104,14390
8091,18166
7543,27651
7308,18713
8120,29090
8106,33094
9067,14004
8109,30936
8102,1078
9060,33774
9065,28749
8095,21046
7757,20623
8139,30986
8131,18175
8073,8291
8138,23834
8074,9425
8137,30108
8007,47725
6518,41240
7890,22441
7391,13509
7357,26453
7393,21439
9061,45026
7205,45109
8089,33664
8119,15831
8101,1480
8088,22909
8068,49964
8085,27545
9071,56144
7356,19998
7929,36021
8008,17440
8000,29591
7394,25589
7843,27586
8071,36490
8111,23981
8081,37940
8006,43483
8121,60286
9066,11739
8003,40993
8065,25363
8116,27493
8067,31165
8100,15340
8190,14968
9068,24476
9072,0
6701,106641
7760,36676
7439,36456
6791,46515
8114,19321
7355,18745
8077,11113
7891,53938
9069,24916
8117,30609
7395,3406
7234,20899
8802,10984
8083,29634
8141,19073
8103,34836
6790,10596
8090,15354
8143,34261
6750,29370
8066,35591
9064,20818
8099,52270
8128,25609
7892,48599
11182,7009
6738,31234
8145,42434
7233,20163
9063,19368
6746,26624
8132,36439
7396,12029
9062,32281
12079,0
8107,13025
8110,25486
7454,14709
6764,43334
8118,33035
6744,15545
6751,24519
7771,23576
6747,45909
6700,80629
6748,30326
6763,35280
6745,14751
7559,21139
6787,12090
8069,57023
6880,17761
6879,33905
6717,10136
6789,27486
6788,21408
6794,25685
6795,16226
8454,27231
6796,14724
6881,19990
6836,19064
6792,21256
6870,27923
6793,38735
7002,50114
7005,24043
7048,34419
7146,23201
7222,21950
7259,6718
7260,0
7347,50008
7386,24763
7387,34135
7398,34333
7416,7875
7475,12146
7451,22956
9121,18416
7535,250
7483,20236
7481,15266
7586,20109
7587,21410
7596,8860
7603,19759
7656,19629
8600,21965
10442,30554
8878,21011
8453,11539
8507,29751
8631,17194
8632,17900
8737,36875
8803,11725
8821,19195
8840,19389
8866,14169
8904,20958
8965,42016
8974,21878
9001,23404
9002,15095
9015,20466
9014,31903
9013,36379
9023,24898
9029,0
9032,15935
9024,20783
9030,39654
9040,16158
9117,24629
9160,38569
11489,2523
9331,29790
9508,22288
9549,35196
9362,21475
9342,10633
9463,20508
9563,25398
9510,16560
9601,31738
9793,5038
10406,19071
8966,0
10431,14296
10460,9299
10466,20101
11409,0
10467,27778
10791,0
10763,28241
10774,6460
10825,20733
10835,20194
10924,35638
10936,18916
10922,48301
10957,35056
10923,19785
10951,8390
11014,16448
11147,7785
11132,23944
11135,0
11359,0
11063,7423
11385,5585
11120,4923
11487,0
11573,6656
11604,8181
11181,0
11257,0
11419,4438
11417,5660
11580,16846
11572,3044
11571,0
11603,2130
11418,0
11719,3310
11574,0
11718,5863
11717,4768
11623,0
11137,0
11624,0
11795,0
11833,0
11785,1433
11901,0
11931,0
11707,0
10956,0
11900,0
11180,0
11886,0
12110,0
12032,0
12161,0
12162,0
12078,0
12224,0
12222,0
12223,0
12221,0
12311,0
11741,0
12310,0
11932,0
12225,0
12326,0
12423,0
12403,0
11421,0
11488,0
12360,0
12086,0
12033,0
12470,0
12522,0
12424,0
6956,10381
6957,3
6864,23468
7549,160
7922,16096
7604,33345
7303,7903
8036,9776
7955,17656
8064,7576
8551,16976
8492,10880
8670,15874
8869,20530
8598,1815
9037,26233
8799,11525
8920,15406
8641,13781
8498,20775
8921,26171
9005,18566
9038,3708
8685,13031
8668,7998
9106,15845
9084,14206
8639,13301
8779,13136
9056,17783
9036,7890
8980,7920
9083,16054
9136,26698
9082,12066
9284,20066
9282,10304
9142,9379
8918,12675
9076,14386
9017,13064
9384,12899
9462,13119
9349,17584
9211,19776
8997,0
9158,4220
9201,7453
9450,13583
9055,15299
8880,4859
9155,25553
8919,3463
9266,15486
9643,7899
8881,9653
9228,13456
9385,13371
9621,19549
9620,0
9502,23685
9461,13245
9311,18903
9528,20910
9019,0
9696,12919
9576,26856
9604,8010
9789,25093
10407,13246
10661,6501
10427,31270
9376,16645
9260,8953
9637,0
10464,13301
10658,20240
10428,20143
10797,0
9334,0
10777,12588
9451,3808
10798,18155
10776,15458
10901,11823
10806,6111
10461,29239
10908,0
10902,0
10891,5866
10465,0
10778,14280
10800,10346
10799,19645
11050,0
11204,13971
11238,14491
11391,11729
11621,6781
11709,0
11790,0
12038,0
12039,0
12120,0
12102,0
12101,0
12271,0
12261,0
7913,48513
7915,40490
7916,36845
7912,31825
7911,39530
7910,27264
7914,22068
8210,7833
8948,4820
8949,13875
8943,15440
8945,18218
8944,31839
8684,20211
8910,15501
8973,49818
8963,17733
8939,9425
9109,14456
9140,18804
9154,13011
9169,39876
9171,26355
9173,200
9172,15865
9137,15626
9108,39738
8810,30478
9192,16349
9018,29945
9293,18515
9170,18999
9480,13819
9481,8298
9503,18435
9447,14233
9500,13156
9448,20749
9449,16656
9479,12906
9616,9685
9780,6413
9610,24350
10405,22899
10395,9945
9569,21
9529,14000
9611,0
10404,18004
9617,15398
9647,26725
10390,9484
9782,7581
10443,18378
9648,9549
9773,5494
10388,17101
9784,19368
10812,26588
10446,14166
10719,9760
10444,9851
10726,23353
10392,16760
10743,12009
10718,13875
9779,24114
10727,0
10403,8500
10429,14224
10757,6415
10811,21106
10401,13289
10463,11469
12479,0
9785,17339
10001,22140
10864,20441
10817,20966
10810,15776
10494,31544
10445,0
10942,11829
10750,2481
10495,33270
10907,33435
10906,10691
10976,20703
10911,29334
10826,17281
11011,10538
10981,21305
11002,14410
10790,12514
10818,12951
11012,19893
11193,18273
11134,7408
11141,22335
10980,10216
11154,8984
10816,2968
11173,8769
11019,8983
11265,15183
11171,8309
11322,11964
11115,14094
11424,7113
10786,6950
11150,14323
11406,8855
11452,4685
11323,0
11386,5349
11429,3159
11451,5730
11013,99
11465,2726
11468,16946
11477,2314
11443,6584
11433,7550
11405,6273
11363,4095
11490,35
11281,110
11423,6681
11422,0
11553,354
11513,609
11552,0
11539,0
9783,311
11582,243
11558,0
11554,0
10958,3348
11597,0
11568,3826
11584,953
11598,2944
11596,113
11647,0
11657,116
11682,0
11695,0
11735,8
11736,0
11531,0
11803,0
11802,0
11782,0
11696,0
11830,0
11927,23
11863,0
11897,0
11898,0
11759,0
11925,0
12024,0
11956,0
12014,0
12056,0
12184,0
12283,0
12235,0
12440,0
12045,0
12355,0
12459,0
12497,0
12502,0
12506,0
12504,0
12454,0
12460,0
12554,0
12571,0
12536,0
12478,0
12439,0
12535,0
12596,0
12616,0
12677,0
